user,message,game,toxicity,keywords,location,extracted_keywords,used_definitions,model_prediction
KEKPipe,noob dps,Marvel Rivals,True,"['noob', 'dps']",Southeast Asia,"['noob', 'dps']","{'noob': {'General': {'matched_word': 'noob', 'definition': 'beginner or bad player', 'score': 0.999967289}}}","{'message': 'noob dps', 'toxicity': True, 'reason': ""the term 'noob' is being used to insult the player, specifically the dps player, which is a personal insult.""}"
Chuslims hater,i f@king hate,Marvel Rivals,True,"['f@king', 'hate']",Southeast Asia,[],{},"{'message': 'i f@king hate', 'toxicity': True, 'reason': ""the word 'f@king' is a profanity that is aggressive to others, and the phrase 'i hate' is a strong negative statement, but it does not contain any of the keywords that are explicitly listed as toxic.""}"
Chuslims hater,muslims,Marvel Rivals,False,['muslims'],Southeast Asia,[],{},"{'message': 'muslims', 'toxicity': True, 'reason': 'this message contains a reference to a religion, which is a potential hate speech or slur.'}"
haakmal,yo,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'yo', 'toxicity': False, 'reason': 'this message is too short to contain any toxic content, and it does not contain any of the keywords provided in the definitions.'}"
haakmal,dps,Marvel Rivals,False,['dps'],Southeast Asia,['dps'],{},"{'message': 'dps', 'toxicity': False, 'reason': 'this is a single word that does not contain any of the toxic keywords'}"
haakmal,honestly,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'honestly', 'toxicity': False, 'reason': 'this message is neutral and does not contain any toxic keywords or phrases.'}"
haakmal,imma let it slide.,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'imma let it slide.', 'toxicity': False, 'reason': 'this message does not contain any of the specified toxic keywords or phrases, and does not appear to be aggressive or insulting.'}"
kwangyy,I have spotted our enemy JEFF THE LAND SHARK!,Marvel Rivals,False,"['JEFF', 'LAND', 'SHARK']",Southeast Asia,['jeff'],"{'jeff': {'Marvel Rivals': {'matched_word': 'jeff', 'definition': 'land shark with bite attacks and pressure mobility', 'score': 0.9999658701}}}","{'message': 'I have spotted our enemy JEFF THE LAND SHARK!', 'toxicity': False, 'reason': 'this message is not toxic as it is a gaming context and is referring to a character in the game Marvel Rivals, land shark with bite attacks and pressure mobility, which is a neutral term.'}"
ANIKH,So,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'So', 'toxicity': False, 'reason': 'this message is too short to contain any toxic content, and it does not match any of the provided examples of toxic messages.'}"
haakmal,just,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'just', 'toxicity': False, 'reason': 'this message is too short and does not contain any of the toxic keywords or phrases.'}"
ANIKH,What did u expected,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'What did u expected', 'toxicity': False, 'reason': 'this message is neutral and does not contain any toxic language or tone.'}"
DragonLuke,so u as spiderman not good,Marvel Rivals,False,['spiderman'],Southeast Asia,['spiderman'],"{'spiderman': {'Marvel Rivals': {'matched_word': 'spiderman', 'definition': 'agile hero with web-swinging, control, and mobility', 'score': 0.9999761342}}}","{'message': 'so u as spiderman not good', 'toxicity': True, 'reason': 'this comment is toxic as it is a personal insult, implying that the player is not good at playing as spiderman.'}"
haakmal,notcing,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'notcing', 'toxicity': False, 'reason': 'this message is not toxic as it does not contain any of the specified toxic keywords or phrases.'}"
haakmal,?,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': '?', 'toxicity': False, 'reason': 'this message is empty and does not contain any toxic keywords or phrases.'}"
Victor040624,STILL lose,Marvel Rivals,False,[],Southeast Asia,[],{},"{'message': 'STILL lose', 'toxicity': False, 'reason': 'this message is a simple statement of loss and does not contain any toxic keywords or phrases.'}"
disorder,yeah,Teamfight Tactics,False,[],Australia,[],{},"{'message': 'yeah', 'toxicity': False, 'reason': 'this message is too short and lacks any context that would suggest it is toxic.'}"
Petrify,thought so drongo,Teamfight Tactics,True,[],Australia,[],{},"{'message': 'thought so drongo', 'toxicity': True, 'reason': ""drongo is a derogatory term used to insult someone's intelligence, which is a personal insult.""}"
Petrify,griefing your own econ to grief me when you could be 9 already is 10/10 brain disorder behaviour,Teamfight Tactics,True,"['griefing', 'econ']",Australia,[],{},"{'message': 'griefing your own econ to grief me when you could be 9 already is 10/10 brain disorder behaviour', 'toxicity': True, 'reason': ""this comment contains a psychological attack or ableist slur, as it calls the other player's behavior 'brain disorder behaviour'""}"
lagcheck,im guessing it wasnt worth he wait,Teamfight Tactics,False,[],Australia,[],{},"{'message': 'im guessing it wasnt worth he wait', 'toxicity': False, 'reason': 'this is a negative comment, however it is not toxic as it could be that the player is expressing frustration or disappointment, without any aggressive or derogatory language.'}"
disorder,going for ryze 3,Teamfight Tactics,False,['ryze'],Australia,[],{},"{'message': 'going for ryze 3', 'toxicity': False, 'reason': 'this message is non-toxic as it is a neutral statement about choosing a character in a game.'}"
Petrify,ryze 3 level 8 0 gold geniusmode,Teamfight Tactics,False,"['ryze', 'gold', 'geniusmode']",Australia,[],{},"{'message': 'ryze 3 level 8 0 gold geniusmode', 'toxicity': False, 'reason': ""this comment is not toxic as it appears to be a player's in-game status update and does not contain any aggressive language or personal insults.""}"
Petrify,well done brain disorder,Teamfight Tactics,True,[],Australia,[],{},"{'message': 'well done brain disorder', 'toxicity': True, 'reason': ""this comment contains the term 'brain disorder', which is an ableist slur and a psychological attack.""}"
darbs,china man,Teamfight Tactics,True,[],Australia,[],{},"{'message': 'china man', 'toxicity': True, 'reason': 'this message contains hate speech or a slur, specifically targeting people of Chinese descent.'}"
Sebbie,mawwww someones angwywwww,Teamfight Tactics,False,[],Australia,[],{},"{'message': 'mawwww someones angwywwww', 'toxicity': False, 'reason': 'this message is not toxic as it is an expression of frustration, but it does not contain any of the specified toxic keywords.'}"
Sebbie,maybe baby needs a nap,Teamfight Tactics,False,[],Australia,[],{},"{'message': 'maybe baby needs a nap', 'toxicity': False, 'reason': 'this comment is not toxic as it is a neutral and innocuous statement about a baby needing a nap.'}"
darbs,"is your willy small, china man",Teamfight Tactics,True,[],Australia,['china'],{},"{'message': 'is your willy small, china man', 'toxicity': True, 'reason': ""this message contains hate speech or slurs, as it uses the term 'china man' which is an offensive reference to race.""}"
Sebbie,lmao,Teamfight Tactics,False,['lmao'],Australia,['lmao'],"{'lmao': {'General': {'matched_word': 'lmao', 'definition': 'laughing my ass off', 'score': 0.9999668298000001}}}","{'message': 'lmao', 'toxicity': False, 'reason': ""lmao is a common abbreviation for 'laughing my ass off', which is a non-toxic expression of laughter.""}"
darbs,did your parents get mad when you didn't become a doctor,Teamfight Tactics,False,[],Australia,[],{},"{'message': ""did your parents get mad when you didn't become a doctor"", 'toxicity': True, 'reason': ""this comment is toxic as it contains a psychological attack. The question is phrased in a way that is meant to belittle and mock the person's life choices.""}"
Sebbie,if I had one,Teamfight Tactics,False,[],Australia,[],{},"{'message': 'if I had one', 'toxicity': False, 'reason': 'this message does not contain any of the specified toxic keywords or phrases.'}"
Sebbie,ez lmao,Teamfight Tactics,False,"['ez', 'lmao']",Australia,"['ez', 'lmao']","{'ez': {'General': {'matched_word': 'ez', 'definition': 'easy win; often used mockingly', 'score': 0.9999629}}, 'lmao': {'General': {'matched_word': 'lmao', 'definition': 'laughing my ass off', 'score': 0.9999668298000001}}}","{'message': 'ez lmao', 'toxicity': False, 'reason': ""this message contains 'ez' which is used to describe an easy win, and 'lmao' which is used to express laughter, both of which are not inherently toxic. The tone appears to be playful and joking.""}"
aiukhgiang,suc sinh,Teamfight Tactics,True,[],Australia,"['suc', 'sinh']",{},"{'message': 'suc sinh', 'toxicity': True, 'reason': 'suc sinh is a derogatory term that is used to insult or mock someone, particularly in a Vietnamese context.'}"
riival,suc ya mum,Teamfight Tactics,True,[],Australia,[],{},"{'message': 'suc ya mum', 'toxicity': True, 'reason': ""this message contains a profanity that is aggressive to others, specifically a reference to a person's mother.""}"
aiukhgiang,you shut,Teamfight Tactics,False,[],Australia,[],{},"{'message': 'you shut', 'toxicity': True, 'reason': ""this message contains the word'shut' which is a shortened form of'stfu', a profanity that is aggressive to others.""}"
riival,you mom boom,Teamfight Tactics,True,[],Australia,[],{},"{'message': 'you mom boom', 'toxicity': True, 'reason': 'this message contains a personal insult and a reference to a family member, which is a form of psychological attack.'}"
aiukhgiang,u mom die,Teamfight Tactics,True,[],Australia,[],{},"{'message': 'u mom die', 'toxicity': True, 'reason': 'this message contains a personal insult and hate speech, as it is making a derogatory comment about the mother of the person being addressed.'}"
aiukhgiang,eat s h i t,Teamfight Tactics,True,[],Australia,[],{},"{'message': 'eat s h i t', 'toxicity': True, 'reason': ""this message contains profanity that is aggressive to others, specifically the phrase 'eat s***' is a form of insult.""}"
riival,CUNT HAHAHAHAHHA,Teamfight Tactics,False,[],Australia,[],{},"{'message': 'CUNT HAHAHAHAHHA', 'toxicity': True, 'reason': ""the word 'cunt' is a profanity that is aggressive to others.""}"
riival,MOM BOOM,Teamfight Tactics,True,[],Australia,[],{},"{'message': 'MOM BOOM', 'toxicity': False, 'reason': ""this message is not toxic as it does not contain any profanities that are aggressive to others, hate speech or slurs, personal insults, sexual harassment or violent remarks, or psychological attacks or ableist slurs. It is also not clear what 'MOM BOOM' refers to, but it does not appear to be a toxic statement.""}"
aiukhgiang,??,Teamfight Tactics,False,[],Australia,[],{},"{'message': '??', 'toxicity': False, 'reason': 'this message is empty and does not contain any toxic language or sentiment.'}"
riival,BYE BYE,Teamfight Tactics,False,[],Australia,[],{},"{'message': 'BYE BYE', 'toxicity': False, 'reason': 'this message is a simple goodbye and does not contain any toxic language or intent.'}"
aiukhgiang,eat s h i t bla blu,Teamfight Tactics,True,[],Australia,[],{},"{'message': 'eat s h i t bla blu', 'toxicity': True, 'reason': ""the message contains profanity that is aggressive to others, specifically the phrase 'eat s h i t' which is a derogatory expression.""}"
aiukhgiang,??,Teamfight Tactics,False,[],Australia,[],{},"{'message': '??', 'toxicity': False, 'reason': 'this message is empty and does not contain any toxic language or sentiment.'}"
aiukhgiang,fuc  k byere,Teamfight Tactics,True,[],Australia,[],{},"{'message': 'fuc  k byere', 'toxicity': True, 'reason': ""this message contains profanity that is aggressive to others, specifically 'fuc k' and 'byere' which is a derogatory term.""}"
riival,:D,Teamfight Tactics,False,[],Australia,[],{},"{'message': ':D', 'toxicity': False, 'reason': 'this is an emoticon that indicates happiness and friendliness, and does not contain any toxic language or tone.'}"
